code,lat,long
TUV,-8.5167,179.2000
SWZ,-26.4465,31.2064
MAF,18.0706,-63.0847
LIE,47.1410,9.5210
SPM,46.7778,-56.1778
GRD,12.0500,-61.7500
SMR,43.9346,12.4473
COK,-21.2070,-159.7710
TCA,21.4590,-71.1390
AIA,18.2208,-63.0517
MAR,26.1580,-10.5670
MNP,15.2137,145.7546
BLM,17.8979,-62.8506
FLK,-51.7000,-57.8500
SXM,18.0237,-63.0458
XSV,78.2200,15.6500
CXR,-10.4261,105.6728
GUM,13.4745,144.7504
WLF,-13.2833,-176.1833
BMU,32.2930,-64.7820
VAT,41.9040,12.4530
NRU,-0.5477,166.9209
SHN,-15.9251,-5.7179
NIU,-19.0560,-169.9210
MSR,16.7928,-62.2106
NFK,-29.0606,167.9619
GLP,16.0104,-61.7055
PLW,7.5006,134.6242
PCN,-25.0667,-130.1000
MSR,16.7064,-62.2158
SGS,-54.2833,-36.5000
VIR,18.3420,-64.9331
